;Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR);Combination
1;1;2;Jakarta;High End;No;No;No;No;No;No;Pulsa;91,91;Yes;106,816666;-6,2;3511,3;Combination 2
2;2;8;Jakarta;High End;No;No;Yes;No;Yes;Yes;Pulsa;129,545;Yes;106,816666;-6,2;6983,6;Combination 3
3;3;28;Jakarta;High End;No;No;Yes;Yes;Yes;Yes;Pulsa;136,24;Yes;106,816666;-6,2;6503,9;Combination 3
4;4;49;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Debit;134,81;Yes;106,816666;-6,2;6942;Combination 4
8;8;47;Jakarta;High End;No;Yes;No;No;Yes;Yes;Pulsa;129,155;Yes;106,816666;-6,2;7525,7;Combination 7
11;11;5;Jakarta;High End;No;No;No;No;No;No;Pulsa;90,61;Yes;106,816666;-6,2;3190,2;Combination 2
12;12;34;Jakarta;High End;No;Yes;Yes;No;Yes;Yes;Pulsa;138,255;Yes;106,816666;-6,2;3823,3;Combination 4
13;13;11;Jakarta;High End;No;No;Yes;No;Yes;Yes;Debit;127,205;Yes;106,816666;-6,2;7376,2;Combination 3
14;14;2;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;104,845;Yes;106,816666;-6,2;7261,8;Combination 9
15;15;15;Jakarta;High End;Yes;Yes;No;No;Yes;Yes;Credit;128,83;Yes;106,816666;-6,2;3855,8;Combination 10
16;16;8;Jakarta;High End;No;Yes;No;No;No;No;Credit;104,845;Yes;106,816666;-6,2;6892,6;Combination 8
17;17;18;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;124,085;Yes;106,816666;-6,2;4132,7;Combination 9
18;18;9;Jakarta;High End;No;No;No;No;Yes;Yes;Pulsa;122,72;Yes;106,816666;-6,2;7242,3;Combination 9
19;19;1;Jakarta;High End;No;No;No;No;Yes;No;Pulsa;103,155;Yes;106,816666;-6,2;3227,9;Combination 9
20;20;7;Jakarta;High End;No;No;Yes;No;No;No;Debit;97,695;Yes;106,816666;-6,2;4494,1;Combination 5
