;index;Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR);Combination;Result;prediction_confidence;prediction;Churn_Risk;customer_priority
0;7;7;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;26,195;Yes;106,816666;-6,2;6281,6;Combination 6;TP;0,597846853;1;Threatening;High
1;22;22;5;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;27,365;Yes;106,816666;-6,2;3385,2;Combination 6;TP;0,554773974;1;Threatening;Moderate
2;65;65;59;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,155;Yes;107,60981;-6,914744;6609,2;Combination 6;FN;0,896884839;0;Low;Low
3;99;99;11;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,935;Yes;106,816666;-6,2;7654,4;Combination 6;FN;0,511199555;0;Low;High
4;103;103;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,87;Yes;106,816666;-6,2;4356,3;Combination 6;TP;0,597846853;1;Threatening;Moderate
5;104;104;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,48;Yes;106,816666;-6,2;4482,4;Combination 6;TP;0,597846853;1;Threatening;Moderate
6;108;108;61;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,22;Yes;106,816666;-6,2;5487,3;Combination 6;FN;0,904766274;0;Low;Low
7;143;143;12;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;24,7;Yes;106,816666;-6,2;4595,5;Combination 6;FN;0,522219469;0;Low;Moderate
8;151;151;7;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;26;Yes;106,816666;-6,2;5822,7;Combination 6;FN;0,510447657;0;Low;Moderate
9;164;164;8;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,545;Yes;106,816666;-6,2;7061,6;Combination 6;TP;0,564906783;1;Threatening;High
10;165;165;2;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,805;Yes;106,816666;-6,2;3070,6;Combination 6;TP;0,587192399;1;Threatening;Moderate
11;177;177;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,415;Yes;106,816666;-6,2;4622,8;Combination 6;TP;0,597846853;1;Threatening;Moderate
12;189;189;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,87;Yes;106,816666;-6,2;5522,4;Combination 6;TP;0,597846853;1;Threatening;Moderate
13;212;212;12;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,74;Yes;106,816666;-6,2;3448,9;Combination 6;FN;0,565238556;0;Low;Low
14;244;244;7;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,025;Yes;107,60981;-6,914744;5835,7;Combination 6;TP;0,575720818;1;Threatening;Moderate
15;270;270;1;Bandung;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,545;Yes;107,60981;-6,914744;7645,3;Combination 6;TP;0,597846853;1;Threatening;High
16;304;304;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Pulsa;25,805;Yes;106,816666;-6,2;5036,2;Combination 6;TP;0,63876677;1;Threatening;Moderate
17;325;325;15;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Debit;25,22;Yes;106,816666;-6,2;6992,7;Combination 6;FN;0,59744791;0;Low;Moderate
18;345;345;1;Jakarta;Low End;No internet service;No internet service;No internet service;No;No internet service;No internet service;Digital Wallet;25,285;Yes;106,816666;-6,2;7393,1;Combination 6;TP;0,597846853;1;Threatening;High
