;Customer ID;Tenure Months;Location;Device Class;Games Product;Music Product;Education Product;Call Center;Video Product;Use MyApp;Payment Method;Monthly Purchase (Thou. IDR);Churn Label;Longitude;Latitude;CLTV (Predicted Thou. IDR);Combination
0;0;2;Jakarta;Mid End;Yes;Yes;No;No;No;No;Digital Wallet;70,005;Yes;106,816666;-6,2;4210,7;Combination 1
5;5;10;Jakarta;Mid End;No;No;Yes;Yes;No;No;Credit;71,76;Yes;106,816666;-6,2;7702,5;Combination 5
6;6;1;Jakarta;Mid End;No;No;Yes;No;No;Yes;Pulsa;51,545;Yes;106,816666;-6,2;7062,9;Combination 5
9;9;1;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;39,26;Yes;106,816666;-6,2;3789,5;Combination 8
10;10;17;Jakarta;Mid End;No;No;No;No;Yes;Yes;Digital Wallet;84,11;Yes;106,816666;-6,2;3928,6;Combination 9
30;30;25;Jakarta;Mid End;Yes;Yes;Yes;No;Yes;Yes;Credit;76,18;Yes;106,816666;-6,2;5447;Combination 13
31;31;1;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;46,085;Yes;106,816666;-6,2;2991,3;Combination 2
32;32;2;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;57,655;Yes;106,816666;-6,2;3341;Combination 2
34;34;8;Jakarta;Mid End;Yes;No;No;Yes;No;Yes;Pulsa;92,495;Yes;106,816666;-6,2;3460,6;Combination 11
35;35;1;Jakarta;Mid End;No;No;No;No;No;No;Pulsa;59,345;Yes;106,816666;-6,2;3380;Combination 2
39;39;58;Bandung;Mid End;No;Yes;Yes;No;No;Yes;Pulsa;58,89;Yes;107,60981;-6,914744;7077,2;Combination 14
44;44;1;Bandung;Mid End;No;Yes;No;No;No;No;Debit;38,935;Yes;107,60981;-6,914744;5894,2;Combination 8
47;47;1;Bandung;Mid End;No;No;No;No;No;No;Pulsa;32,24;Yes;107,60981;-6,914744;6306,3;Combination 2
51;51;2;Bandung;Mid End;No;No;No;No;No;No;Credit;59,8;Yes;107,60981;-6,914744;3467,1;Combination 2
53;53;4;Bandung;Mid End;No;No;No;Yes;No;No;Digital Wallet;65,065;Yes;107,60981;-6,914744;4412,2;Combination 2
54;54;1;Bandung;Mid End;No;No;No;No;Yes;No;Digital Wallet;71,76;Yes;107,60981;-6,914744;4729,4;Combination 9
56;56;2;Bandung;Mid End;No;Yes;No;No;No;No;Digital Wallet;70,72;Yes;107,60981;-6,914744;3322,8;Combination 8
59;59;1;Bandung;Mid End;Yes;No;No;No;No;No;Digital Wallet;63,115;Yes;107,60981;-6,914744;7393,1;Combination 11
61;61;1;Bandung;Mid End;No;Yes;No;No;Yes;No;Pulsa;52,26;Yes;107,60981;-6,914744;7576,4;Combination 7
62;62;2;Bandung;Mid End;No;No;No;No;No;No;Credit;57,98;Yes;107,60981;-6,914744;6349,2;Combination 2
63;63;3;Bandung;Mid End;No;No;Yes;No;No;Yes;Pulsa;53,495;Yes;107,60981;-6,914744;3008,2;Combination 5
67;67;1;Bandung;Mid End;No;No;No;No;No;No;Debit;32,24;Yes;107,60981;-6,914744;6613,1;Combination 2
74;74;10;Bandung;Mid End;No;No;No;No;No;No;Credit;58,305;Yes;107,60981;-6,914744;5279,3;Combination 2
80;80;38;Jakarta;Mid End;Yes;Yes;No;Yes;Yes;Yes;Credit;104,39;Yes;106,816666;-6,2;2692,3;Combination 10
82;82;54;Jakarta;Mid End;Yes;Yes;No;Yes;Yes;Yes;Debit;107,185;Yes;106,816666;-6,2;5393,7;Combination 10
86;86;68;Jakarta;Mid End;No;Yes;Yes;Yes;No;Yes;Debit;98,54;Yes;106,816666;-6,2;6373,9;Combination 14
91;91;21;Jakarta;Mid End;Yes;No;No;No;Yes;No;Pulsa;54,47;Yes;106,816666;-6,2;6211,4;Combination 12
93;93;27;Jakarta;Mid End;Yes;No;No;No;No;No;Credit;39,975;Yes;106,816666;-6,2;3805,1;Combination 11
97;97;1;Jakarta;Mid End;No;Yes;No;No;No;No;Digital Wallet;65,845;Yes;106,816666;-6,2;3160,3;Combination 8
109;109;12;Jakarta;Mid End;No;No;No;No;No;No;Debit;59,02;Yes;106,816666;-6,2;3753,1;Combination 2
115;115;13;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;72,735;Yes;106,816666;-6,2;5847,4;Combination 2
116;116;1;Jakarta;Mid End;No;No;No;No;No;Yes;Pulsa;71,5;Yes;106,816666;-6,2;6340,1;Combination 2
121;121;48;Jakarta;Mid End;Yes;No;Yes;No;No;Yes;Debit;58,89;Yes;106,816666;-6,2;6403,8;Combination 16
125;125;22;Jakarta;Mid End;No;Yes;Yes;No;No;Yes;Debit;56,875;Yes;106,816666;-6,2;4028,7;Combination 14
126;126;5;Jakarta;Mid End;No;Yes;No;No;No;No;Pulsa;36,985;Yes;106,816666;-6,2;5328,7;Combination 8
138;138;13;Jakarta;Mid End;Yes;No;No;Yes;Yes;No;Credit;59,215;Yes;106,816666;-6,2;6312,8;Combination 12
147;147;12;Jakarta;Mid End;Yes;No;Yes;Yes;No;No;Digital Wallet;80,145;Yes;106,816666;-6,2;7371;Combination 16
